name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,group_plat,ventas_totales
star wars starfighter: special edition,XB,2001,Simulation,0.3,0.1,0.0,0.02,76.0,,T,xbox,0.42
animal crossing: amiibo festival,WiiU,2015,Misc,0.19,0.11,0.09,0.03,46.0,44.0,E,nintendo,0.42
nba jam,PS2,2003,Sports,0.2,0.16,0.0,0.05,,,,play,0.41
zone of the enders: the 2nd runner,PS2,2003,Simulation,0.15,0.12,0.11,0.04,82.0,89.0,M,play,0.42
just dance 2014,PS4,2013,Misc,0.19,0.16,0.0,0.07,75.0,55.0,E10+,play,0.42
jampack spring 2004 (rp-t),PS2,2003,Misc,0.2,0.16,0.0,0.05,,,,play,0.41
dexter's laboratory deesaster strikes,GBA,2001,Adventure,0.3,0.11,0.0,0.01,,,,nintendo,0.42
nfl gameday 2004,PS2,2003,Sports,0.2,0.16,0.0,0.05,65.0,87.0,E,play,0.41
condemned: criminal origins,X360,2005,Action,0.36,0.02,0.0,0.03,81.0,82.0,M,xbox,0.41
scooby-doo and the cyber chase,GBA,2001,Adventure,0.3,0.11,0.0,0.01,,,,nintendo,0.42
wheel of fortune,DS,2010,Misc,0.39,0.0,0.0,0.03,,,E,nintendo,0.42
tomb raider: the last revelation,PC,1998,Action,0.41,0.0,0.0,0.0,,86.0,T,pc,0.41
pro evolution soccer 2011,PS2,2010,Sports,0.04,0.21,0.05,0.11,,67.0,E,play,0.41
sega rally championship 2,DC,1999,Racing,0.0,0.0,0.41,0.0,,,,otros,0.41
quake ii,PS,1998,Shooter,0.23,0.16,0.0,0.03,,,,play,0.42
crash of the titans,PS2,2007,Action,0.34,0.01,0.0,0.06,70.0,59.0,E10+,play,0.41
ea sports ufc 2,XOne,2016,Sports,0.24,0.14,0.0,0.04,76.0,60.0,T,xbox,0.42
mlb 10: the show,PS2,2010,Sports,0.2,0.16,0.0,0.05,,,E,play,0.41
wheel of fortune: 2nd edition,PS,2000,Misc,0.23,0.16,0.0,0.03,,,,play,0.42
tom clancy's rainbow six: lockdown,XB,2005,Shooter,0.26,0.13,0.0,0.02,74.0,66.0,M,xbox,0.41
mobile suit gundam: gundam vs gundam next plus,PSP,2009,Fighting,0.0,0.0,0.41,0.0,,,,play,0.41
timeshift,X360,2007,Shooter,0.36,0.02,0.0,0.03,70.0,79.0,M,xbox,0.41
cool boarders 2001,PS,2000,Sports,0.23,0.16,0.0,0.03,56.0,,E,play,0.42
grudge warriors,PS,1999,Action,0.23,0.16,0.0,0.03,,,,play,0.42
farming simulator 17,PS4,2016,Simulation,0.05,0.31,0.0,0.06,69.0,87.0,E,play,0.42
world soccer jikkyou winning eleven 2000: u-23 medal heno chousen,PS,2000,Sports,0.0,0.0,0.39,0.03,,,,play,0.42
castlevania: the dracula x chronicles,PSP,2007,Platform,0.22,0.09,0.04,0.07,80.0,78.0,T,play,0.42
mobile suit gundam,SAT,1995,Action,0.0,0.0,0.41,0.0,,,,otros,0.41
tom clancy's hawx 2,PS3,2010,Action,0.21,0.12,0.03,0.05,70.0,68.0,T,play,0.41
battlefield: hardline,PS3,2015,Shooter,0.13,0.15,0.07,0.06,,53.0,M,play,0.41
jimmy neutron: boy genius,PS2,2002,Platform,0.2,0.16,0.0,0.05,,58.0,E,play,0.41
itadaki street ds,DS,2007,Misc,0.0,0.0,0.41,0.0,,,,nintendo,0.41
x-men: the official game,PS2,2006,Action,0.2,0.16,0.0,0.05,52.0,75.0,T,play,0.41
terraria,PS3,2013,Action,0.07,0.2,0.09,0.05,81.0,79.0,T,play,0.41
lego dimensions,XOne,2015,Action,0.22,0.15,0.0,0.04,80.0,69.0,E10+,xbox,0.41
football manager handheld 2011,PSP,2010,Sports,0.0,0.27,0.0,0.14,77.0,77.0,E,play,0.41
300: march to glory,PSP,2007,Action,0.27,0.08,0.0,0.07,55.0,71.0,M,play,0.42
marvel super hero squad,DS,2009,Fighting,0.36,0.02,0.0,0.03,61.0,28.0,E10+,nintendo,0.41
call of duty: modern warfare: mobilized,DS,2009,Shooter,0.36,0.02,0.0,0.03,,,,nintendo,0.41
nhl 15,XOne,2014,Sports,0.31,0.06,0.0,0.04,59.0,32.0,E10+,xbox,0.41
e0: enemy zero,SAT,1996,Adventure,0.0,0.0,0.41,0.0,,,,otros,0.41
tom clancy's the division,PC,2016,Shooter,0.22,0.15,0.0,0.04,79.0,58.0,M,pc,0.41
yu-gi-oh! gx: tag force 2,PSP,2007,Strategy,0.03,0.19,0.1,0.1,,,,play,0.42
nicktoons: unite!,PS2,2005,Adventure,0.34,0.01,0.0,0.06,,,,play,0.41
jumpstart: escape from adventure island,Wii,2009,Adventure,0.38,0.0,0.0,0.03,68.0,,E,nintendo,0.41
green day: rock band,PS3,2010,Misc,0.19,0.15,0.0,0.06,76.0,63.0,T,play,0.4
nascar racing,PS,1996,Racing,0.23,0.16,0.0,0.03,,,,play,0.42
fifa 14,PSV,2013,Sports,0.08,0.23,0.01,0.09,,18.0,E,play,0.41
monotaro dentetsu 2010: sengoku ishin no hero daishuugou! no maki,Wii,2009,Misc,0.0,0.0,0.41,0.0,,,,nintendo,0.41
cars: race-o-rama,PSP,2009,Racing,0.29,0.07,0.0,0.06,,,E,play,0.42
boku no natsuyasumi 2: umi no bouken hen,PS2,2002,Adventure,0.0,0.0,0.41,0.0,,,,play,0.41
f1 2014,PS3,2014,Racing,0.07,0.26,0.02,0.06,62.0,41.0,E,play,0.41
command & conquer: red alert,PS,1997,Strategy,0.23,0.16,0.0,0.03,,,,play,0.42
cars: mater-national championship,PS3,2007,Racing,0.37,0.01,0.0,0.03,63.0,48.0,E,play,0.41
call of duty: black ops ii,WiiU,2012,Shooter,0.2,0.18,0.0,0.03,81.0,69.0,M,nintendo,0.41
ogre battle 64: person of lordly caliber,N64,1999,Role-Playing,0.1,0.02,0.25,0.04,,,,nintendo,0.41
superman: the new superman adventures,N64,1999,Action,0.33,0.07,0.0,0.0,,,,nintendo,0.4
dig dug,NES,1985,Puzzle,0.0,0.0,0.41,0.0,,,,nintendo,0.41
bioshock,PC,2007,Shooter,0.01,0.39,0.0,0.02,96.0,85.0,M,pc,0.42
the terminator: dawn of fate,PS2,2002,Action,0.2,0.16,0.0,0.05,58.0,57.0,T,play,0.41
rogue galaxy: director's cut,PS2,2007,Role-Playing,0.2,0.16,0.0,0.05,,,,play,0.41
armored core,PS,1997,Simulation,0.13,0.09,0.16,0.03,,,,play,0.41
the smurfs,DS,2011,Action,0.23,0.14,0.0,0.04,,,E,nintendo,0.41
densha de go! 2,PS,1999,Simulation,0.0,0.0,0.38,0.03,,,,play,0.41
medal of honor heroes 2,Wii,2007,Shooter,0.33,0.04,0.01,0.03,73.0,76.0,T,nintendo,0.41
top spin 4,X360,2011,Sports,0.15,0.22,0.0,0.04,84.0,82.0,E,xbox,0.41
james patterson women's murder club: games of passion,DS,2009,Adventure,0.15,0.22,0.0,0.05,53.0,,T,nintendo,0.42
band hero,PS2,2009,Misc,0.15,0.06,0.0,0.2,,44.0,E10+,play,0.41
armored core 2: another age,PS2,2001,Simulation,0.11,0.08,0.19,0.03,75.0,88.0,T,play,0.41
buzz! junior: jungle party,PS2,2006,Misc,0.2,0.16,0.0,0.05,,,,play,0.41
god eater 2: rage burst,PSV,2015,Role-Playing,0.0,0.03,0.37,0.01,,81.0,T,play,0.41
mortal kombat: deadly alliance,GC,2002,Fighting,0.31,0.08,0.0,0.01,81.0,87.0,M,nintendo,0.4
nba 2k11,PS2,2010,Action,0.34,0.01,0.0,0.06,,,E,play,0.41
akb1/48: idol to koishitara,PSP,2010,Misc,0.0,0.0,0.41,0.0,,,,play,0.41
pro pinball,PS,1996,Misc,0.23,0.15,0.0,0.03,,,,play,0.41
nights: journey of dreams,Wii,2007,Platform,0.32,0.02,0.04,0.03,69.0,85.0,E,nintendo,0.41
'98 koshien,PS,1998,Sports,0.15,0.1,0.12,0.03,,,,play,0.4
harvest moon: grand bazaar,DS,2008,Simulation,0.21,0.05,0.13,0.02,,,,nintendo,0.41
nba 2k9,PS2,2008,Sports,0.34,0.01,0.0,0.06,,80.0,E,play,0.41
yu-gi-oh! the eternal duelist soul (jp sales),GBA,2001,Misc,0.0,0.0,0.4,0.01,,,,nintendo,0.41
up,PSP,2009,Action,0.24,0.09,0.0,0.07,,,E,play,0.4
hatsune miku: project diva 2nd,PSP,2010,Misc,0.0,0.0,0.41,0.0,,,,play,0.41
marvel: ultimate alliance 2,PS2,2009,Role-Playing,0.23,0.02,0.0,0.16,,46.0,T,play,0.41
monster jam: urban assault,Wii,2008,Racing,0.38,0.0,0.0,0.03,,78.0,E,nintendo,0.41
call of duty: advanced warfare,PC,2014,Shooter,0.15,0.23,0.0,0.03,78.0,45.0,M,pc,0.41
mario no super picross,SNES,1995,Puzzle,0.0,0.0,0.41,0.0,,,,nintendo,0.41
uefa euro 2008 austria-switzerland,PS3,2008,Sports,0.08,0.26,0.0,0.06,,,,play,0.4
"ed, edd n eddy: the mis-edventures",PS2,2005,Platform,0.34,0.01,0.0,0.06,50.0,76.0,E,play,0.41
jikkyou powerful pro yakuu '94,SNES,1994,Sports,0.0,0.0,0.41,0.0,,,,nintendo,0.41
disney's tarzan untamed,PS2,2001,Platform,0.2,0.16,0.0,0.05,59.0,71.0,E,play,0.41
wwe all stars,PS3,2011,Fighting,0.16,0.18,0.0,0.07,75.0,64.0,T,play,0.41
green day: rock band,X360,2010,Misc,0.24,0.13,0.0,0.04,75.0,66.0,T,xbox,0.41
harry potter and the deathly hallows - part 1,DS,2010,Action,0.19,0.18,0.0,0.04,56.0,60.0,E10+,nintendo,0.41
resistance: burning skies,PSV,2012,Shooter,0.18,0.15,0.02,0.06,60.0,68.0,M,play,0.41
battlefield 2: modern combat,X360,2006,Shooter,0.35,0.02,0.01,0.03,77.0,73.0,T,xbox,0.41
rocksmith 2014,XOne,2014,Misc,0.29,0.08,0.0,0.04,,,,xbox,0.41
knockout kings 2001,PS,2000,Fighting,0.23,0.15,0.0,0.03,84.0,85.0,T,play,0.41
from russia with love,PS2,2005,Action,0.34,0.01,0.0,0.06,69.0,76.0,T,play,0.41
fantastic pets,X360,2011,Simulation,0.3,0.08,0.0,0.03,66.0,75.0,E,xbox,0.41
blazblue: continuum shift,PS3,2010,Fighting,0.21,0.07,0.09,0.04,87.0,80.0,T,play,0.41
duke nukem forever,PC,2011,Shooter,0.18,0.17,0.0,0.06,54.0,57.0,M,pc,0.41
dragon quest x,WiiU,2013,Role-Playing,0.0,0.0,0.41,0.0,,,,nintendo,0.41
minority report: everybody runs,PS2,2002,Action,0.2,0.15,0.0,0.05,50.0,50.0,T,play,0.4
katamari forever,PS3,2009,Puzzle,0.26,0.04,0.06,0.04,74.0,81.0,E,play,0.4
disney's hercules / disney's the jungle book: groove party / a bug's life,PS,2003,Misc,0.23,0.15,0.0,0.03,,,,play,0.41
nfl gameday 2002,PS,2001,Sports,0.23,0.15,0.0,0.03,62.0,88.0,E,play,0.41
pengo,2600,1983,Adventure,0.38,0.02,0.0,0.0,,,,otros,0.4
spider-man: web of shadows,X360,2008,Action,0.36,0.02,0.0,0.03,68.0,86.0,T,xbox,0.41
naughty bear,X360,2010,Action,0.21,0.15,0.0,0.04,43.0,56.0,T,xbox,0.4
mouse trap,2600,1981,Action,0.38,0.02,0.0,0.0,,,,otros,0.4
tak and the power of juju,GC,2003,Platform,0.31,0.08,0.0,0.01,71.0,82.0,E,nintendo,0.4
six flags fun park,Wii,2009,Misc,0.27,0.09,0.0,0.04,43.0,71.0,E10+,nintendo,0.4
just dance kids 2,X360,2011,Misc,0.29,0.08,0.0,0.03,,,E,xbox,0.4
beowulf: the game,X360,2007,Action,0.36,0.01,0.0,0.03,51.0,47.0,M,xbox,0.4
nba jam,Wii,2010,Sports,0.36,0.02,0.0,0.02,79.0,85.0,E,nintendo,0.4
rune factory 3: a fantasy harvest moon,DS,2009,Role-Playing,0.26,0.03,0.1,0.02,77.0,86.0,E,nintendo,0.41
dragon quest builders: revive alefgard,PS4,2016,Role-Playing,0.04,0.11,0.22,0.03,,,,play,0.4
star wars the clone wars: republic heroes,PSP,2009,Action,0.21,0.12,0.0,0.07,,,T,play,0.4
tales of zestiria,PS4,2015,Role-Playing,0.17,0.15,0.02,0.06,72.0,68.0,T,play,0.4
metal gear solid: the legacy collection,PS3,2013,Adventure,0.31,0.01,0.03,0.06,93.0,90.0,M,play,0.41
medarot: kabuto / kuwagata version,GB,1997,Role-Playing,0.0,0.0,0.4,0.0,,,,nintendo,0.4
nba 2k10,PS2,2009,Sports,0.33,0.01,0.0,0.05,,86.0,E,play,0.39
defender,PS2,2002,Misc,0.2,0.15,0.0,0.05,73.0,78.0,T,play,0.4
tna impact!,PS3,2008,Fighting,0.22,0.12,0.0,0.06,,,,play,0.4
taiko no tatsujin wii: dodon to 2 yome!,Wii,2009,Misc,0.0,0.0,0.4,0.0,,,,nintendo,0.4
congo bongo,2600,1982,Action,0.37,0.02,0.0,0.0,,,,otros,0.39
gauntlet: seven sorrows,PS2,2005,Role-Playing,0.2,0.15,0.0,0.05,59.0,57.0,T,play,0.4
harry potter: quidditch world cup,GC,2003,Sports,0.31,0.08,0.0,0.01,68.0,85.0,E,nintendo,0.4
warriors orochi 2 (jp sales),PS2,2008,Action,0.0,0.0,0.4,0.0,,,,play,0.4
cabela's big game hunter 2010,PS3,2009,Sports,0.37,0.0,0.0,0.03,,50.0,T,play,0.4
overlord,X360,2007,Strategy,0.34,0.03,0.01,0.03,76.0,83.0,T,xbox,0.41
the chronicles of narnia: prince caspian,PS2,2008,Action,0.2,0.15,0.0,0.05,67.0,70.0,T,play,0.4
the incredibles: rise of the underminer,GBA,2005,Action,0.29,0.11,0.0,0.01,,,E,nintendo,0.41
life is strange,PS4,2016,Adventure,0.15,0.15,0.03,0.06,85.0,86.0,M,play,0.39
pet in tv,PS,1997,Strategy,0.0,0.0,0.38,0.03,,,,play,0.41
battalion wars,GC,2005,Strategy,0.25,0.07,0.07,0.01,76.0,88.0,T,nintendo,0.4
nba shootout 2000,PS,1999,Sports,0.22,0.15,0.0,0.03,,,,play,0.4
power rangers: dino thunder,GC,2004,Action,0.31,0.08,0.0,0.01,49.0,,E,nintendo,0.4
samurai shodown,SNES,1994,Fighting,0.0,0.0,0.4,0.0,,,,nintendo,0.4
mass effect trilogy,X360,2012,Action,0.28,0.09,0.0,0.03,,74.0,M,xbox,0.4
the wonderful 101,WiiU,2013,Action,0.19,0.1,0.08,0.03,78.0,85.0,T,nintendo,0.4
spongebob squigglepants,Wii,2011,Misc,0.35,0.02,0.0,0.03,59.0,,E,nintendo,0.4
fighting vipers,SAT,1995,Fighting,0.0,0.0,0.4,0.0,,,,otros,0.4
yu-gi-oh! 5d's stardust accelerator: world championship 2009,DS,2009,Action,0.27,0.01,0.09,0.03,,,,nintendo,0.4
ncaa gamebreaker 2000,PS,1999,Sports,0.22,0.15,0.0,0.03,,,,play,0.4
asura's wrath,PS3,2012,Action,0.18,0.12,0.06,0.05,71.0,74.0,T,play,0.41
the legend of spyro: dawn of the dragon,PS2,2008,Platform,0.12,0.01,0.0,0.27,,71.0,E10+,play,0.4
akb1/48: idol to guam de koishitara,PSP,2011,Misc,0.0,0.0,0.4,0.0,,,,play,0.4
nfl quarterback club 2000,N64,1999,Sports,0.37,0.03,0.0,0.0,,,,nintendo,0.4
mortal kombat mythologies: sub-zero,N64,1997,Fighting,0.32,0.07,0.0,0.0,,,,nintendo,0.39
rr64: ridge racer 64,N64,1999,Racing,0.32,0.07,0.0,0.0,,,,nintendo,0.39
top gear rally,N64,1997,Racing,0.32,0.07,0.0,0.0,,,,nintendo,0.39
18 wheeler: american pro trucker,PS2,2001,Racing,0.2,0.15,0.0,0.05,61.0,57.0,E,play,0.4
"transformers: revenge of the fallen (xbox 360, ps3, & pc versions)",PSP,2009,Shooter,0.17,0.14,0.0,0.08,,,,play,0.39
wall-e,PS3,2008,Platform,0.12,0.21,0.0,0.08,51.0,50.0,E,play,0.41
atari anthology,PS2,2004,Misc,0.33,0.01,0.0,0.05,66.0,43.0,E,play,0.39
fifa 14,PC,2013,Sports,0.01,0.36,0.0,0.03,87.0,46.0,E,pc,0.4
bugs bunny: lost in time,PS,1999,Platform,0.22,0.15,0.0,0.03,,,,play,0.4
hot wheels: beat that!,PS2,2007,Racing,0.2,0.15,0.0,0.05,,,E,play,0.4
mlb 2006,PS2,2005,Sports,0.33,0.01,0.0,0.05,81.0,90.0,E,play,0.39
ragnarok odyssey,PSV,2012,Role-Playing,0.2,0.01,0.16,0.03,66.0,78.0,T,play,0.4
brunswick pro bowling,PS2,2007,Sports,0.2,0.15,0.0,0.05,,,E,play,0.4
the gunstringer,X360,2011,Shooter,0.26,0.1,0.0,0.04,77.0,81.0,T,xbox,0.4
rocket power: dream scheme,GBA,2001,Action,0.29,0.11,0.0,0.01,,,,nintendo,0.41
marvel: ultimate alliance,Wii,2006,Role-Playing,0.36,0.0,0.0,0.03,73.0,73.0,T,nintendo,0.39
my virtual tutor: reading adventure first to second grade,DS,2009,Misc,0.37,0.0,0.0,0.03,,,,nintendo,0.4
mx vs atv unleashed,XB,2005,Racing,0.32,0.07,0.0,0.01,80.0,83.0,E,xbox,0.4
fifa soccer 13,PC,2012,Action,0.02,0.31,0.0,0.07,86.0,66.0,E,pc,0.4
rampage: total destruction,GC,2006,Action,0.31,0.08,0.0,0.01,57.0,67.0,E10+,nintendo,0.4
style lab: makeover,DS,2009,Simulation,0.34,0.03,0.0,0.03,,,E,nintendo,0.4
the urbz: sims in the city,GC,2004,Simulation,0.24,0.14,0.0,0.02,73.0,84.0,T,nintendo,0.4
road rash: jailbreak,PS,1999,Racing,0.22,0.15,0.0,0.03,,,,play,0.4
disney sing it! high school musical 3: senior year,PS3,2008,Misc,0.08,0.26,0.0,0.06,,,,play,0.4
mother 3,GBA,2006,Role-Playing,0.0,0.0,0.39,0.01,,,,nintendo,0.4
nicktoons: freeze frame frenzy,GBA,2004,Action,0.29,0.11,0.0,0.01,53.0,,E,nintendo,0.41
monster trucks mayhem,Wii,2009,Racing,0.38,0.0,0.0,0.02,,,E,nintendo,0.4
you don't know jack,PS,1999,Misc,0.22,0.15,0.0,0.03,,,,play,0.4
rapala pro bass fishing 2010,X360,2010,Sports,0.32,0.05,0.0,0.03,,,E,xbox,0.4
wwe smackdown! vs raw 2006,PSP,2005,Fighting,0.36,0.0,0.0,0.03,81.0,85.0,T,play,0.39
mafia ii,PC,2010,Action,0.17,0.17,0.0,0.05,77.0,79.0,M,pc,0.39
avatar: the game,DS,2009,Action,0.18,0.18,0.0,0.04,,,,nintendo,0.4
mystery dungeon: shiren the wanderer,SNES,1995,Role-Playing,0.0,0.0,0.4,0.0,,,,nintendo,0.4
pro evolution soccer 2016,PS3,2015,Sports,0.09,0.12,0.15,0.04,,72.0,E,play,0.4
star wars: clone wars,GC,2002,Shooter,0.31,0.08,0.0,0.01,,,,nintendo,0.4
nba live 2002,XB,2001,Sports,0.35,0.03,0.0,0.02,76.0,75.0,E,xbox,0.4
sega superstars tennis,PS3,2008,Sports,0.13,0.2,0.0,0.07,67.0,74.0,E10+,play,0.4
spore hero,Wii,2009,Simulation,0.35,0.02,0.0,0.03,61.0,71.0,E10+,nintendo,0.4
winter sports 2: the next challenge,Wii,2008,Sports,0.17,0.18,0.0,0.04,,,E,nintendo,0.39
boku no natsuyasumi,PS,2000,Adventure,0.0,0.0,0.37,0.03,,,,play,0.4
i-ninja,PS2,2003,Platform,0.19,0.15,0.0,0.05,73.0,83.0,T,play,0.39
"transformers: the game (xbox 360, ps2, ps3, wii & pc versions)",PS3,2007,Action,0.32,0.03,0.01,0.04,,,,play,0.4
moshi monsters: moshlings theme park,DS,2012,Misc,0.03,0.33,0.0,0.04,,,E,nintendo,0.4
ghostbusters: the video game,DS,2009,Action,0.24,0.12,0.0,0.04,55.0,60.0,E,nintendo,0.4
command & conquer,PS,1996,Strategy,0.22,0.15,0.0,0.03,,,,play,0.4
sd gundam g generation seed,PS2,2004,Strategy,0.0,0.0,0.4,0.0,,,,play,0.4
call of duty: finest hour,GC,2004,Shooter,0.31,0.08,0.0,0.01,74.0,89.0,T,nintendo,0.4
naruto: path of the ninja,DS,2007,Role-Playing,0.37,0.0,0.0,0.03,57.0,72.0,E10+,nintendo,0.4
tales of phantasia,SNES,1995,Role-Playing,0.0,0.0,0.4,0.0,,,,nintendo,0.4
speed racer: the videogame,Wii,2008,Racing,0.35,0.02,0.0,0.03,,,,nintendo,0.4
castlevania: portrait of ruin,DS,2006,Platform,0.31,0.02,0.04,0.03,85.0,83.0,T,nintendo,0.4
suzuki tt superbikes,PS2,2005,Racing,0.33,0.01,0.0,0.05,71.0,85.0,E,play,0.39
rumble roses,PS2,2004,Fighting,0.19,0.15,0.0,0.05,66.0,85.0,M,play,0.39
disney infinity 30,X360,2015,Action,0.21,0.15,0.0,0.03,,,,xbox,0.39
tomb raider: anniversary,X360,2007,Action,0.12,0.22,0.0,0.05,77.0,83.0,T,xbox,0.39
sherlock holmes: the mystery of the mummy,DS,2009,Adventure,0.06,0.3,0.0,0.04,57.0,31.0,E,nintendo,0.4
fantastic four: rise of the silver surfer,PS2,2007,Action,0.19,0.15,0.0,0.05,36.0,64.0,T,play,0.39
ultimate spider-man,XB,2005,Action,0.26,0.11,0.0,0.02,77.0,74.0,T,xbox,0.39
littlest pet shop,Wii,2008,Simulation,0.33,0.03,0.0,0.03,,,E,nintendo,0.39
juiced 2: hot import nights,PS2,2007,Racing,0.19,0.15,0.01,0.05,66.0,67.0,T,play,0.4
star wars the clone wars: republic heroes,DS,2009,Action,0.22,0.14,0.0,0.04,,53.0,E10+,nintendo,0.4
nhl 99,N64,1998,Sports,0.38,0.01,0.0,0.0,,,,nintendo,0.39
lego the lord of the rings,3DS,2012,Action,0.2,0.16,0.0,0.03,61.0,76.0,E10+,nintendo,0.39
danball senki,PSP,2011,Role-Playing,0.0,0.0,0.39,0.0,,,,play,0.39
no more heroes 2: desperate struggle,Wii,2010,Action,0.2,0.11,0.04,0.03,84.0,88.0,M,nintendo,0.38
nascar heat,PS,2000,Racing,0.22,0.15,0.0,0.03,62.0,,E,play,0.4
planet 51,DS,2009,Action,0.22,0.14,0.0,0.04,,,E,nintendo,0.4
bloody roar,PS,1997,Fighting,0.22,0.15,0.0,0.03,,,,play,0.4
bump 'n' jump,2600,1982,Racing,0.37,0.02,0.0,0.0,,,,otros,0.39
mobile suit gundam: lost war chronicles,PS2,2002,Shooter,0.0,0.0,0.39,0.0,,,,play,0.39
legends of wrestlemania,X360,2009,Fighting,0.2,0.15,0.0,0.04,71.0,63.0,T,xbox,0.39
fishing resort,Wii,2011,Sports,0.14,0.0,0.25,0.01,69.0,70.0,E,nintendo,0.4
disney's brother bear,GBA,2003,Action,0.28,0.1,0.0,0.01,,,E,nintendo,0.39
armored core v,PS3,2012,Simulation,0.09,0.04,0.24,0.02,65.0,73.0,T,play,0.39
nba live 09,PS2,2008,Sports,0.32,0.01,0.01,0.05,,74.0,E,play,0.39
saints row iv,PS4,2015,Action,0.13,0.18,0.03,0.06,,,,play,0.4
mass effect 2,PC,2010,Role-Playing,0.01,0.32,0.0,0.06,94.0,88.0,M,pc,0.39
harry potter and the deathly hallows - part 1,PS3,2010,Action,0.13,0.2,0.0,0.07,38.0,28.0,T,play,0.4
the house of the dead iii,XB,2002,Shooter,0.29,0.08,0.0,0.01,72.0,73.0,M,xbox,0.38
project x zone,3DS,2012,Role-Playing,0.18,0.04,0.15,0.02,70.0,73.0,T,nintendo,0.39
nba jam,PS3,2010,Sports,0.22,0.12,0.0,0.06,71.0,57.0,E,play,0.4
fire emblem: fuuin no tsurugi,GBA,2002,Role-Playing,0.0,0.0,0.39,0.0,,,,nintendo,0.39
dishonored,PS4,2015,Action,0.12,0.2,0.02,0.06,,,,play,0.4
dark souls iii,XOne,2016,Role-Playing,0.26,0.09,0.0,0.04,87.0,86.0,,xbox,0.39
nba jam,X360,2010,Sports,0.27,0.09,0.0,0.03,75.0,70.0,E,xbox,0.39
dancing with the stars: we dance!,DS,2008,Misc,0.36,0.0,0.0,0.03,,,,nintendo,0.39
nba live 09,PSP,2008,Sports,0.23,0.07,0.03,0.06,,73.0,E,play,0.39
ener-g: gym rockets,DS,2008,Sports,0.36,0.0,0.0,0.03,,,E,nintendo,0.39
laser blast,2600,1981,Action,0.37,0.02,0.0,0.0,,,,otros,0.39
madden nfl football,3DS,2011,Sports,0.36,0.01,0.0,0.03,49.0,53.0,E,nintendo,0.4
thrasher presents: skate and destroy,PS,1998,Sports,0.22,0.15,0.0,0.03,,,,play,0.4
are you smarter than a 5th grader? make the grade,DS,2008,Misc,0.36,0.0,0.0,0.03,,,E,nintendo,0.39
donkey konga 2,GC,2004,Misc,0.3,0.08,0.0,0.01,69.0,60.0,T,nintendo,0.39
spongebob's truth or square (us sales),PSP,2009,Action,0.39,0.0,0.0,0.0,,,,play,0.39
tear ring saga yutona eiyuu senki,PS,2001,Role-Playing,0.0,0.0,0.37,0.03,,,,play,0.4
transformers: fall of cybertron,PS3,2012,Action,0.19,0.14,0.0,0.06,77.0,82.0,T,play,0.39
alpha protocol,X360,2010,Role-Playing,0.23,0.12,0.0,0.04,63.0,72.0,M,xbox,0.39
metal gear solid hd edition,PSV,2012,Action,0.12,0.16,0.05,0.06,,,,play,0.39
fifa 12,3DS,2011,Sports,0.08,0.26,0.0,0.05,,,,nintendo,0.39
taiko no tatsujin wii: ketteiban,Wii,2011,Misc,0.0,0.0,0.39,0.0,,,,nintendo,0.39
ssx 3,XB,2003,Sports,0.29,0.08,0.0,0.01,92.0,87.0,E,xbox,0.38
combat of giants: dinosaurs 3d,3DS,2011,Strategy,0.25,0.06,0.05,0.03,44.0,53.0,E10+,nintendo,0.39
madden nfl 2005,GBA,2004,Sports,0.28,0.1,0.0,0.01,79.0,76.0,E,nintendo,0.39
all-star baseball 2000,N64,1999,Sports,0.36,0.03,0.0,0.0,,,,nintendo,0.39
custom robo v2,N64,2000,Fighting,0.0,0.0,0.34,0.05,,,,nintendo,0.39
extreme-g: xg2,N64,1998,Racing,0.31,0.07,0.0,0.0,,,,nintendo,0.38
battletanx: global assault,N64,1999,Action,0.31,0.07,0.0,0.0,,,,nintendo,0.38
final fantasy crystal chronicles: the crystal bearers,Wii,2009,Action,0.21,0.07,0.08,0.03,66.0,76.0,T,nintendo,0.39
spongebob's truth or square (us sales),Wii,2009,Action,0.38,0.01,0.0,0.0,,,,nintendo,0.39
until dawn: rush of blood,PS4,2016,Adventure,0.18,0.15,0.0,0.07,72.0,80.0,M,play,0.4
chibi-robo! plug into adventure!,GC,2005,Adventure,0.23,0.06,0.09,0.01,,,,nintendo,0.39
sonic lost world,WiiU,2013,Platform,0.23,0.12,0.01,0.03,63.0,73.0,E10+,nintendo,0.39
super monkey ball: step & roll,Wii,2010,Action,0.15,0.19,0.0,0.04,,,,nintendo,0.38
skylanders swap force,PS4,2013,Platform,0.2,0.12,0.0,0.06,79.0,52.0,E10+,play,0.38
iron man 2,PS3,2010,Action,0.14,0.18,0.0,0.07,41.0,52.0,T,play,0.39
jampack winter 2003 (rp-t),PS2,2003,Misc,0.19,0.15,0.0,0.05,,,,play,0.39
star wars the clone wars: republic heroes,X360,2009,Action,0.18,0.17,0.0,0.04,43.0,63.0,T,xbox,0.39
monster jam: urban assault,DS,2008,Racing,0.36,0.0,0.0,0.03,,,E,nintendo,0.39
kengo: master of bushido,PS2,2000,Fighting,0.16,0.13,0.06,0.04,62.0,84.0,M,play,0.39
blood omen 2,PS2,2002,Action,0.19,0.15,0.0,0.05,67.0,88.0,M,play,0.39
